Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100096,Male,No,0,Graduate,No,7578,2000,55,360,1,Semiurban,N
LP100097,Male,Yes,0,Graduate,No,2239,0,185,360,1,Rural,Y
LP100098,Male,No,1,Graduate,No,3333,3428,90,360,1,Rural,N
LP100099,Male,Yes,2,Graduate,No,4301,1587,111,360,1,Semiurban,N
LP100100,Male,No,0,Graduate,No,10408,2034,nan,360,1,Rural,Y
LP100101,Male,Yes,0,Graduate,Yes,4300,2583,116,360,1,Urban,Y
LP100102,Male,Yes,0,Graduate,No,2400,8333,88,360,1,Urban,Y
LP100103,Male,No,0,Graduate,No,8566,0,360,360,1,Rural,N
LP100104,Male,No,0,Graduate,No,4885,1811,30,360,nan,Rural,N
LP100105,Male,Yes,3+,Graduate,No,2917,0,135,360,1,Semiurban,Y
LP100106,Female,No,0,Graduate,No,3273,1255,123,360,1,Semiurban,Y
LP100107,Female,Yes,0,Graduate,No,6000,1459,216,360,1,Rural,Y
LP100108,Female,Yes,2,Graduate,No,5649,2340,380,360,1,Semiurban,N
LP100109,Male,Yes,0,Graduate,No,2330,4486,125,360,1,Urban,Y
LP100110,Male,Yes,0,Graduate,No,3583,4167,495,360,1,Urban,Y
LP100111,Female,Yes,0,Not Graduate,No,3075,1625,201,360,1,Urban,Y
LP100112,Female,Yes,0,Graduate,No,2995,1625,120,360,nan,Urban,N
LP100113,Male,Yes,2,Not Graduate,No,3620,2232,311,360,1,Semiurban,Y
LP100114,Male,Yes,3+,Graduate,Yes,3427,0,125,360,0,Urban,N
LP100115,Male,Yes,3+,Graduate,No,5285,0,157,360,0,Rural,Y
LP100116,Male,Yes,0,Graduate,,3617,2569,112,360,1,Urban,Y
LP100117,Male,Yes,2,Not Graduate,No,3173,0,115,84,1,Urban,Y
LP100118,Female,No,0,Graduate,,3400,0,120,360,1,Urban,Y
LP100119,Male,Yes,0,Graduate,No,3036,4301,570,360,1,Rural,Y
LP100120,Male,No,1,Not Graduate,Yes,6822,0,36,360,nan,Rural,Y
LP100121,Male,Yes,0,Graduate,No,8566,1500,122,360,1,Semiurban,Y
LP100122,Male,Yes,2,Graduate,No,3598,754,180,360,1,Urban,Y
LP100123,Female,Yes,1,Graduate,No,81000,0,134,360,1,Urban,Y
LP100124,Male,No,3+,Graduate,No,2500,4416,286,360,1,Rural,Y
LP100125,Male,Yes,2,Graduate,No,9508,4114,123,360,1,Semiurban,Y
LP100126,Male,No,0,Not Graduate,No,1625,2531,185,360,1,Semiurban,Y
LP100127,Male,No,2,Graduate,No,2971,830,81,360,nan,Urban,N
LP100128,Male,No,0,Not Graduate,Yes,4133,3021,120,360,1,Urban,N
LP100129,Female,Yes,3+,Not Graduate,No,2833,0,99,360,1,Urban,N
LP100130,Male,No,0,Graduate,No,12841,1400,118,360,1,Semiurban,Y
LP100131,Male,Yes,0,Not Graduate,No,2499,7166,160,360,1,Semiurban,Y
LP100132,Male,Yes,0,Graduate,No,2237,1451,140,120,1,Rural,Y
LP100133,Male,Yes,0,Not Graduate,No,4945,0,80,360,nan,Urban,Y
LP100134,Male,Yes,2,Graduate,No,5649,2083,120,360,1,Rural,N
LP100135,Male,No,0,Graduate,No,3166,0,160,360,1,Semiurban,N
LP100136,Male,Yes,0,Graduate,No,2383,2816,155,360,1,Rural,N
LP100137,Male,Yes,,Graduate,No,2929,0,130,360,1,Semiurban,N
LP100138,Male,Yes,1,Graduate,No,5316,4750,45,360,1,Rural,Y
LP100139,Male,Yes,0,Not Graduate,Yes,9166,0,250,360,1,Rural,Y
LP100140,Male,No,1,Graduate,No,4000,1300,55,360,1,Semiurban,N
LP100141,Male,Yes,1,Graduate,No,3159,800,25,360,1,Rural,Y
LP100142,Male,No,0,Graduate,No,3600,0,100,180,1,Semiurban,Y
LP100143,Female,No,2,Graduate,No,3539,4250,118,180,1,Urban,N
LP100144,Female,Yes,1,Graduate,No,3816,4648,125,360,1,Rural,Y
LP100145,Male,Yes,0,Graduate,No,6822,3166,96,360,1,Urban,Y
LP100146,Male,Yes,3+,Graduate,No,3902,1411,62,360,1,Semiurban,Y
LP100147,Male,Yes,0,Graduate,No,3708,0,495,180,1,Urban,Y
LP100148,Female,Yes,0,Graduate,No,9833,1667,63,360,1,Urban,Y
LP100149,Female,No,3+,Graduate,No,9357,0,98,360,1,Urban,N
LP100150,Male,No,1,Graduate,No,5000,0,128,360,nan,Rural,Y
LP100151,Male,Yes,3+,Graduate,,3597,0,93,360,1,Semiurban,N
LP100152,Male,Yes,0,Graduate,No,4945,2791,133,360,nan,Rural,Y
LP100153,Male,No,1,Graduate,No,4680,985,90,180,1,Semiurban,N
LP100154,Male,Yes,1,Graduate,No,4188,4750,216,360,0,Semiurban,N
LP100155,Female,Yes,0,Not Graduate,No,14866,0,211,360,1,Urban,Y
LP100156,Male,No,3+,Graduate,No,2214,2500,nan,360,1,Urban,Y
LP100157,Male,Yes,0,Graduate,No,6000,2034,187,360,1,Urban,N
LP100158,Male,Yes,3+,Not Graduate,No,4053,1387,110,360,0,Rural,Y
LP100159,Female,No,1,Graduate,No,4300,1993,40,360,1,Rural,N
LP100160,Male,No,3+,Graduate,Yes,5708,2223,95,360,1,Semiurban,Y
LP100161,Male,No,1,Not Graduate,No,10139,2925,267,180,0,Semiurban,Y
LP100162,Male,Yes,1,Graduate,No,2550,7166,93,360,1,Semiurban,Y
LP100163,Male,Yes,1,Graduate,No,4100,0,113,360,1,Urban,N
LP100164,Male,Yes,0,Graduate,No,6277,2426,81,180,1,Urban,Y
LP100165,Male,Yes,0,Graduate,No,3399,0,70,360,1,Semiurban,N
LP100166,Male,Yes,1,Graduate,No,2400,0,55,360,1,Rural,Y
LP100167,Male,Yes,,Graduate,No,5568,2302,110,360,1,Urban,Y
LP100168,Female,Yes,2,Graduate,,5923,2000,119,360,1,Urban,N
LP100169,Male,Yes,3+,Not Graduate,No,3481,2365,280,360,nan,Semiurban,Y
LP100170,Female,Yes,0,Graduate,No,2929,2118,130,360,1,Rural,Y
LP100171,Male,No,0,Graduate,No,6400,0,279,360,1,Rural,N
LP100172,Female,Yes,3+,Graduate,No,81000,5625,187,360,1,Rural,N
LP100173,Female,Yes,0,Graduate,No,10139,1040,110,180,1,Urban,N
LP100174,Male,No,0,Not Graduate,No,6216,2168,210,180,1,Semiurban,Y
LP100175,Male,Yes,0,Graduate,Yes,2330,2466,187,360,1,Semiurban,Y
LP100176,,No,0,Graduate,No,3762,0,350,360,1,Semiurban,Y
LP100177,Male,No,0,Not Graduate,,4180,1644,111,360,1,Semiurban,N
LP100178,Male,No,3+,Graduate,No,6400,1010,88,180,1,Semiurban,N
LP100179,Female,Yes,2,Graduate,No,8566,1800,112,360,1,Semiurban,Y
LP100180,Male,Yes,0,Not Graduate,No,37719,0,25,360,1,Rural,Y
LP100181,Male,Yes,0,Graduate,No,3159,2200,105,360,1,Rural,N
LP100182,Male,Yes,0,Graduate,Yes,4053,4167,nan,360,0,Urban,Y
LP100183,Male,No,0,Not Graduate,No,2330,0,46,360,1,Rural,Y
LP100184,Male,Yes,3+,Not Graduate,Yes,2600,0,152,360,1,Semiurban,N
LP100185,Male,Yes,2,Graduate,No,3660,2500,140,360,0,Semiurban,N
LP100186,Male,Yes,0,Graduate,No,81000,5654,120,360,1,Rural,N
LP100187,Male,Yes,0,Graduate,No,10833,2458,95,360,1,Urban,Y
LP100188,Male,No,3+,Graduate,No,2894,2188,100,360,1,Urban,Y
LP100189,Male,Yes,0,Graduate,No,1000,0,46,360,1,Semiurban,Y
LP100190,Male,Yes,0,Graduate,No,5266,0,161,180,1,Urban,Y
LP100191,Male,Yes,0,Graduate,No,1800,0,85,360,1,Urban,Y
LP100192,Female,Yes,1,Graduate,,20833,2934,113,360,1,Rural,Y
LP100193,Male,Yes,0,Not Graduate,No,4408,2458,120,360,1,Rural,N
LP100194,Male,Yes,0,Graduate,No,6782,1522,96,360,1,Urban,N
LP100195,Male,Yes,0,Graduate,No,4945,1750,140,36,1,Urban,N
LP100196,Male,Yes,3+,Graduate,No,10833,0,112,360,1,Semiurban,Y
LP100197,,Yes,1,Graduate,No,3125,2669,192,360,nan,Semiurban,Y
LP100198,Male,No,0,Graduate,No,3865,4232,155,360,1,Urban,Y
LP100199,Male,Yes,0,Not Graduate,No,2014,0,500,360,0,Rural,Y
LP100200,Male,Yes,0,Not Graduate,No,4333,0,110,180,1,Semiurban,Y
LP100201,Male,Yes,0,Graduate,No,3254,2054,36,360,0,Urban,N
LP100202,Male,Yes,0,Graduate,No,3246,830,66,360,1,Semiurban,Y
LP100203,Male,Yes,3+,Not Graduate,No,1820,0,101,360,nan,Rural,Y
LP100204,Male,Yes,1,Graduate,Yes,2600,7101,110,360,1,Semiurban,Y
LP100205,Female,Yes,3+,Graduate,No,4625,0,210,360,1,Semiurban,Y
LP100206,Male,Yes,3+,Not Graduate,Yes,2014,0,190,360,1,Rural,N
LP100207,Female,No,2,Graduate,No,3089,536,258,360,1,Rural,Y
LP100208,Male,Yes,1,Graduate,No,5819,1666,185,360,1,Urban,Y
LP100209,Male,Yes,0,Graduate,No,4342,1964,nan,360,1,Urban,N
LP100210,Male,Yes,1,Graduate,No,4923,2016,255,360,0,Rural,Y
LP100211,Female,No,0,Not Graduate,No,2221,2302,130,300,1,Semiurban,Y
LP100212,Female,Yes,2,Graduate,No,3750,0,116,360,nan,Semiurban,N
LP100213,Male,Yes,3+,Graduate,Yes,2439,0,112,360,1,Semiurban,Y
LP100214,Male,No,2,Not Graduate,No,9508,5625,115,360,1,Rural,N
LP100215,Female,Yes,0,Graduate,No,2500,0,160,360,1,Urban,Y
LP100216,Female,Yes,0,Graduate,No,3620,800,155,180,1,Urban,Y
LP100217,Female,No,0,Not Graduate,No,2071,0,138,360,nan,Urban,Y
LP100218,Female,No,0,Graduate,,645,0,100,360,1,Urban,Y
LP100219,Male,Yes,0,Graduate,No,7085,3053,135,360,1,Urban,Y
LP100220,Female,Yes,1,Graduate,No,1958,0,81,360,1,Urban,Y
LP100221,Male,Yes,3+,Graduate,No,12500,800,128,360,1,Semiurban,Y
LP100222,Male,No,0,Graduate,No,33846,1255,135,360,1,Urban,Y
LP100223,,Yes,2,Graduate,No,3074,3428,175,180,0,Rural,N
LP100224,Male,Yes,0,Graduate,No,4009,1644,258,180,1,Urban,N
LP100225,Female,No,0,Graduate,,2720,2840,130,360,0,Urban,N
LP100226,Female,Yes,2,Graduate,No,4680,10968,113,360,0,Semiurban,Y
LP100227,Male,Yes,0,Graduate,No,2666,3000,129,360,1,Rural,Y
LP100228,Male,Yes,0,Not Graduate,Yes,3993,0,55,360,1,Rural,Y
LP100229,Male,Yes,1,Graduate,No,5417,3850,275,360,1,Semiurban,N
LP100230,Male,No,1,Not Graduate,No,4652,2253,71,360,1,Urban,Y
LP100231,Male,Yes,0,Graduate,No,3254,0,120,360,0,Urban,N
LP100232,Female,No,0,Not Graduate,No,3593,0,162,360,1,Semiurban,Y
LP100233,Male,Yes,0,Graduate,No,2500,0,116,360,1,Rural,Y
LP100234,Male,Yes,2,Graduate,No,39147,1950,192,360,1,Semiurban,Y
LP100235,Male,Yes,0,Graduate,No,5849,0,300,360,nan,Urban,Y
LP100236,Male,No,1,Graduate,No,9833,1260,30,360,1,Urban,N
LP100237,Female,Yes,3+,Not Graduate,Yes,12000,0,46,360,1,Semiurban,Y
LP100238,Male,Yes,1,Graduate,Yes,4000,1915,187,360,1,Semiurban,Y
LP100239,Male,No,3+,Graduate,No,3208,0,160,180,1,Rural,Y
LP100240,Male,No,0,Not Graduate,No,2473,0,75,360,1,Urban,Y
LP100241,Male,Yes,0,Graduate,No,6333,0,133,360,1,Urban,Y
LP100242,Female,No,0,Not Graduate,No,4616,4583,138,360,1,Urban,Y
LP100243,Male,Yes,3+,Graduate,No,3155,0,96,360,0,Rural,Y
LP100244,Male,Yes,2,Not Graduate,No,81000,0,130,360,1,Urban,Y
LP100245,Male,Yes,2,Not Graduate,No,7167,1911,87,300,1,Rural,N
LP100246,Male,Yes,2,Not Graduate,No,6283,4333,110,nan,1,Urban,N
LP100247,Male,Yes,2,Graduate,No,12841,2188,138,360,nan,Semiurban,Y
LP100248,Male,Yes,2,Graduate,No,8300,1800,250,360,1,Semiurban,Y
LP100249,Female,Yes,3+,Graduate,No,2500,0,75,360,1,Semiurban,Y
LP100250,Male,Yes,0,Not Graduate,No,3326,0,122,360,0,Semiurban,Y
LP100251,Male,No,1,Graduate,Yes,4652,2333,175,360,1,Urban,Y
LP100252,Male,Yes,3+,Graduate,No,1600,1560,148,360,1,Semiurban,N
LP100253,Female,,3+,Not Graduate,No,5941,0,60,360,1,Semiurban,N
LP100254,Female,No,3+,Graduate,No,3340,3263,110,360,1,Semiurban,Y
LP100255,Male,No,0,Not Graduate,No,51763,0,113,360,1,Urban,N
LP100256,Male,Yes,1,Not Graduate,No,4950,5654,25,360,1,Semiurban,Y
LP100257,Male,Yes,1,Graduate,No,1800,0,102,360,1,Semiurban,Y
LP100258,Male,Yes,0,Graduate,No,3173,2138,118,360,1,Rural,Y
LP100259,Male,No,0,Graduate,No,150,0,144,360,1,Rural,Y
LP100260,Female,Yes,0,Graduate,No,6700,0,160,360,0,Urban,N
LP100261,Male,No,2,Graduate,No,6065,0,nan,360,1,Urban,N
LP100262,Male,Yes,0,Graduate,No,3572,505,30,360,0,Semiurban,N
LP100263,Male,Yes,2,Graduate,Yes,2718,0,96,360,1,Urban,N
LP100264,Male,Yes,3+,Graduate,Yes,4616,2232,81,360,1,Urban,Y
LP100265,Male,Yes,0,Graduate,Yes,4200,0,106,360,1,Rural,Y
LP100266,Male,No,3+,Graduate,No,3500,3000,128,360,1,Urban,Y
LP100267,Female,Yes,2,Not Graduate,No,2500,2458,280,360,1,Semiurban,Y
LP100268,Male,No,0,Graduate,No,3083,0,131,360,1,Rural,Y
LP100269,Male,Yes,0,Graduate,No,17500,2500,160,360,1,Rural,Y
LP100270,Male,Yes,2,Graduate,No,4885,1398,176,360,1,Urban,N
LP100271,Female,Yes,0,Not Graduate,No,2755,0,131,360,1,Urban,Y
LP100272,Male,No,,Not Graduate,No,2213,2504,124,360,1,Rural,Y
LP100273,Male,Yes,2,Graduate,No,3497,2253,214,180,1,Semiurban,Y
LP100274,Male,Yes,0,Graduate,No,5667,0,142,360,1,Urban,Y
LP100275,Male,No,,Graduate,No,2058,663,125,360,1,Semiurban,Y
LP100276,Male,No,1,Graduate,No,3326,3066,160,360,1,Semiurban,N
LP100277,Male,Yes,0,Not Graduate,No,23803,0,133,360,0,Rural,N
LP100278,Male,Yes,3+,Graduate,No,5124,0,112,360,1,Semiurban,N
LP100279,Female,Yes,0,Graduate,No,5800,0,136,180,1,Semiurban,N
LP100280,Male,No,0,Graduate,Yes,3816,983,176,360,1,Semiurban,Y
LP100281,Male,No,0,Graduate,,3229,2857,125,360,1,Rural,N
LP100282,Male,Yes,0,Graduate,No,3052,1030,113,300,1,Rural,N
LP100283,Male,Yes,0,Graduate,No,4000,3667,187,360,nan,Semiurban,N
LP100284,Male,No,2,Graduate,No,3600,0,110,360,1,Semiurban,Y
LP100285,Male,Yes,1,Graduate,No,6050,0,128,360,0,Rural,Y
LP100286,Female,Yes,,Not Graduate,No,23803,1987,119,360,0,Semiurban,N
LP100287,Male,No,0,Graduate,No,4652,0,94,360,1,Urban,Y
LP100288,Male,Yes,0,Graduate,No,6000,4232,188,360,1,Semiurban,Y
LP100289,Male,Yes,2,Graduate,No,6400,1881,138,360,1,Rural,N
LP100290,,No,0,Graduate,Yes,5266,1210,45,84,0,Urban,Y
LP100291,Male,Yes,2,Graduate,No,81000,0,30,180,1,Rural,N
LP100292,,Yes,0,Not Graduate,No,5568,0,160,300,1,Urban,Y
LP100293,Male,Yes,0,Graduate,No,6000,3667,128,360,0,Semiurban,Y
LP100294,Male,Yes,0,Graduate,No,5667,0,95,360,1,Rural,N
LP100295,Male,No,0,Graduate,No,2137,0,175,360,1,Urban,Y
LP100296,Male,Yes,0,Graduate,No,2500,1040,173,360,1,Urban,Y
LP100297,Male,No,0,Not Graduate,,4333,2358,nan,180,1,Rural,Y
LP100298,Male,No,0,Graduate,No,2500,2333,nan,360,nan,Semiurban,Y
LP100299,Male,Yes,0,Graduate,No,81000,2466,160,360,0,Rural,Y
LP100300,Male,Yes,2,Graduate,No,2400,1717,150,360,1,Semiurban,N
LP100301,Male,Yes,0,Not Graduate,Yes,4200,1851,160,300,1,Urban,Y
LP100302,Male,No,0,Graduate,No,3200,0,170,180,0,Semiurban,Y
LP100303,Male,Yes,2,Graduate,No,16250,0,130,360,1,Urban,Y
LP100304,Male,Yes,0,Graduate,No,9833,3416,122,360,1,Semiurban,Y
LP100305,Male,Yes,,Graduate,,3103,1800,131,360,0,Semiurban,Y
LP100306,Male,No,0,Not Graduate,No,5042,0,120,360,1,Urban,Y
LP100307,Male,No,1,Graduate,Yes,645,0,71,360,1,Semiurban,N
LP100308,Male,Yes,1,Graduate,No,5708,0,108,360,1,Rural,Y
LP100309,Male,No,1,Not Graduate,No,6045,0,216,360,1,Semiurban,Y
LP100310,Male,Yes,2,Graduate,No,3013,3150,157,360,1,Semiurban,Y
LP100311,Male,No,0,Graduate,No,8072,5063,114,360,0,Urban,Y
LP100312,Male,Yes,0,Graduate,No,10408,0,182,360,1,Semiurban,N
LP100313,Male,No,0,Not Graduate,No,11146,0,153,360,1,Urban,Y
LP100314,Female,Yes,0,Graduate,Yes,2000,2302,480,360,0,Semiurban,N
LP100315,Male,Yes,2,Graduate,No,6782,923,172,180,1,Semiurban,N
LP100316,Male,Yes,0,Graduate,No,3450,10968,185,360,nan,Urban,Y
LP100317,Male,Yes,0,Graduate,No,9703,4648,96,360,1,Rural,Y
LP100318,Male,Yes,0,Graduate,,9323,0,131,360,nan,Semiurban,N
LP100319,Male,Yes,0,Not Graduate,,6216,0,175,nan,1,Urban,N
LP100320,Male,Yes,1,Graduate,Yes,3466,0,170,360,1,Rural,N
LP100321,Male,Yes,1,Graduate,No,2130,3369,84,300,1,Rural,Y
LP100322,Male,No,0,Graduate,Yes,4566,754,259,360,1,Urban,Y
LP100323,Female,No,0,Not Graduate,,3103,5302,111,360,1,Semiurban,Y
LP100324,Male,Yes,0,Graduate,No,4931,0,600,360,1,Urban,Y
LP100325,Male,Yes,2,Not Graduate,Yes,19730,985,88,360,1,Urban,Y
LP100326,Male,Yes,2,Not Graduate,,33846,0,255,360,1,Semiurban,Y
LP100327,Female,Yes,2,Not Graduate,No,4106,2115,131,360,1,Semiurban,N
LP100328,Male,No,0,Graduate,No,3075,1459,131,360,1,Rural,N
LP100329,Male,No,2,Graduate,No,416,5625,225,360,1,Semiurban,Y
LP100330,Male,No,2,Graduate,Yes,5746,0,42,360,1,Semiurban,Y
LP100331,Male,Yes,1,Not Graduate,No,1958,0,63,360,1,Semiurban,Y
LP100332,Female,No,0,Graduate,,2383,2785,110,300,1,Rural,Y
LP100333,Male,No,0,Not Graduate,No,2499,1666,108,180,1,Semiurban,Y
LP100334,Male,No,1,Not Graduate,No,2500,3167,208,360,1,Urban,Y
LP100335,Male,No,2,Graduate,No,5417,3800,99,360,1,Urban,Y
LP100336,Male,Yes,1,Graduate,No,9328,1666,200,360,1,Semiurban,Y
LP100337,Female,Yes,0,Graduate,No,3010,1666,216,360,1,Urban,N
LP100338,Male,Yes,0,Graduate,Yes,5500,0,228,360,0,Urban,N
LP100339,Male,No,0,Graduate,No,4547,0,113,360,0,Urban,N
LP100340,Female,Yes,0,Not Graduate,Yes,4333,0,45,360,1,Semiurban,Y
LP100341,Male,Yes,0,Graduate,No,3727,0,148,360,1,Rural,Y
LP100342,Male,Yes,2,Not Graduate,No,3095,0,175,360,0,Urban,Y
LP100343,Male,Yes,2,Graduate,No,2083,2840,191,360,1,Rural,Y
LP100344,Female,Yes,0,Graduate,No,3620,1666,151,360,1,Rural,Y
LP100345,Male,No,0,Not Graduate,No,2895,0,80,360,1,Rural,N
